gene,log2FoldChange,pValue,rawPValue,qValue,significant
SRGAP1,0.161815,0.606789,0.606789,0.999906,no
SRGAP2,0.17254,0.63628,0.63628,0.999906,no
SRGAP2P2,0.266524,0.473258,0.473258,0.999906,no
SRGAP3,0.659436,0.263073,0.263073,0.999906,no
SRGN,-0.1723,0.704236,0.704236,0.999906,no
SRI,-0.437968,0.167491,0.167491,0.999906,no
SRM,-0.839203,0.00812682,0.00812682,0.213555,no
SRP14,-0.0537097,0.862773,0.862773,0.999906,no
SRP19,-0.040499,0.975049,0.975049,0.999906,no
SRP54,-0.0820787,0.802936,0.802936,0.999906,no
SRP68,0.0532721,0.865118,0.865118,0.999906,no
SRP72,0.180541,0.557819,0.557819,0.999906,no
SRP9,0.0728925,0.816392,0.816392,0.999906,no
SRPK1,-0.252961,0.454421,0.454421,0.999906,no
SRPK2,0.222939,0.531506,0.531506,0.999906,no
SRPK3,0.19778,0.827271,0.827271,0.999906,no
SRPR,-0.0663596,0.842457,0.842457,0.999906,no
SRPRB,-0.0463608,0.892211,0.892211,0.999906,no
SRPX,-0.956869,0.0151223,0.0151223,0.322237,no
SRPX2,-0.0766562,0.815769,0.815769,0.999906,no
SRR,0.115311,0.873954,0.873954,0.999906,no
SRRD,0.0840227,0.913022,0.913022,0.999906,no
SRRM1,0.0156864,0.96049,0.96049,0.999906,no
SRRM2,-0.00427595,0.990244,0.990244,0.999906,no
SRRM3,0.0507347,0.943408,0.943408,0.999906,no
SRRT,-0.162739,0.617358,0.617358,0.999906,no
SRSF1,0.0357877,0.915038,0.915038,0.999906,no
SRSF10,-0.106504,0.828556,0.828556,0.999906,no
SRSF11,-0.131321,0.707839,0.707839,0.999906,no
SRSF2,-0.0261741,0.943089,0.943089,0.999906,no
SRSF3,-0.19514,0.578924,0.578924,0.999906,no
SRSF4,-0.113465,0.715719,0.715719,0.999906,no
SRSF5,-0.0690196,0.830479,0.830479,0.999906,no
SRSF6,0.144658,0.64139,0.64139,0.999906,no
SRSF7,0.128892,0.721344,0.721344,0.999906,no
SRSF8,-0.491765,0.159335,0.159335,0.999906,no
SRSF9,-0.243449,0.535249,0.535249,0.999906,no
SRXN1,0.127078,0.693462,0.693462,0.999906,no
SS18,-0.208169,0.534674,0.534674,0.999906,no
SS18L1,0.231607,0.612281,0.612281,0.999906,no
SS18L2,-0.656554,0.684989,0.684989,0.999906,no
SSB,-0.92319,0.00851721,0.00851721,0.22117,no
SSBP1,-0.00876086,0.980918,0.980918,0.999906,no
SSBP2,0.806245,0.189306,0.189306,0.999906,no
SSBP3,-1.00882,0.0102587,0.0102587,0.249777,no
SSBP4,0.269954,0.57829,0.57829,0.999906,no
SSC5D,0.430354,0.254892,0.254892,0.999906,no
SSFA2,0.119167,0.709095,0.709095,0.999906,no
SSH1,-0.12381,0.833843,0.833843,0.999906,no
SSH2,-1.25304,7.53286e-05,7.53286e-05,0.00616918,yes
SSH3,-0.25013,0.445223,0.445223,0.999906,no
SSNA1,-0.286885,0.541155,0.541155,0.999906,no
SSPN,-0.137139,0.682621,0.682621,0.999906,no
SSR1,0.0617048,0.842424,0.842424,0.999906,no
SSR2,0.142517,0.645266,0.645266,0.999906,no
SSR3,-0.377491,0.222819,0.222819,0.999906,no
SSR4,0.0037983,0.992351,0.992351,0.999906,no
SSR4P1,-0.693915,0.326863,0.326863,0.999906,no
SSRP1,-0.069789,0.821242,0.821242,0.999906,no
SSSCA1,0.0184596,0.969396,0.969396,0.999906,no
SST,2.0176,0.169728,0.169728,0.999906,no
SSTR1,0.0887977,0.838555,0.838555,0.999906,no
SSU72,-0.154848,0.61579,0.61579,0.999906,no
SSX2IP,0.411612,0.283295,0.283295,0.999906,no
ST13,0.18317,0.556559,0.556559,0.999906,no
ST13P4,0.195813,0.551828,0.551828,0.999906,no
ST20,-0.0326446,0.983122,0.983122,0.999906,no
ST3GAL1,0.563789,0.112508,0.112508,0.999906,no
