condition,min,q1,median,q3,max
Untreated,0.0,1.6235625624765297,2.8216938902459523,4.019159245207385,13.326078321178235
Dex,0.0,1.6134232109798932,2.8663699572706394,4.1399851188835095,14.848828298615677
