gene,condition,fpkm
CRISPLD2,Untreated,7.89376
CRISPLD2,Dex,51.1687
FKBP5,Untreated,3.42672
FKBP5,Dex,53.0545
KLF15,Untreated,0.858054
KLF15,Dex,20.4583
PER1,Untreated,1.48904
PER1,Dex,13.6869
TSC22D3,Untreated,9.6913
TSC22D3,Dex,93.2645
DUSP1,Untreated,18.2623
DUSP1,Dex,144.962
SPARCL1,Untreated,1.07021
SPARCL1,Dex,27.8845
SAMHD1,Untreated,17.265
SAMHD1,Dex,245.782
